System Date,Purchase Category,SKU,Store,Supply Site,Vendor,DC to Store Lead Time (in Days),Stock Transfer Schedule at Store (in Days),AVAILABLE STOCK (Units),UoM,STOCK VALUE (INR),Stock in Transit,STO count in last two weeks,Total STO qty raised in last 2 weeks,Fill rate at Stores for last 2 weeks - Rolling Average,DC to Store Fill Rate On Time - Rolling Average,Last Good Receipt Note (GRN) date at Store,Last GRN qty at Store,Days since last GRN at Store,Daily SALES QTY - Rolling Average for Last Month,Daily SALES VALUE - Rolling Average for Last Month,Actual Sale in Last 2 weeks (Total),Retail Price
5/1/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,14,197,Litres,"17,730.00",51,3,114,97%,92%,4/25/2016,97,6,108,"9,720.00","163,296.00",90
5/2/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,14,80,Litres,"7,200.00",51,3,114,100%,90%,4/26/2016,100,6,106,"9,540.00","173,628.00",90
5/3/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,8,0,Litres,0,51,3,114,5%,99%,4/27/2016,107,6,107,"9,630.00","175,266.00",90
5/4/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,13,0,Litres,0,51,3,114,9%,97%,4/28/2016,100,6,125,"11,250.00","189,000.00",90
5/5/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,14,0,Litres,0,51,3,114,9%,98%,4/29/2016,100,6,108,"9,720.00","163,296.00",90
5/6/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,5,133,Litres,"11,970.00",51,3,114,98%,96%,4/30/2016,99,6,116,"10,440.00","146,160.00",90
5/7/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,13,10,73,Litres,"6,570.00",51,3,114,100%,98%,5/1/2016,91,6,108,"9,720.00","149,688.00",90
5/8/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,15,8,166,Litres,"14,940.00",51,3,114,97%,90%,5/2/2016,100,6,105,"9,450.00","132,300.00",90
5/9/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,11,8,134,Litres,"12,060.00",51,3,114,98%,96%,5/3/2016,111,6,122,"10,980.00","184,464.00",90
5/10/2016,Beverages,Natural Sour Apple Cocktail 3.2 litres,Chandannagore Depot,DC - Kolkata Metropolitan Area,Tasty Fresh Juices,12,13,163,Litres,"14,670.00",51,3,114,98%,97%,5/4/2016,108,6,108,"9,720.00","136,080.00",90
