"","Supply.Site","Store","System.Date","SKU","DC.to.Store.Lead.Time..in.Days.","Stock.Transfer.Schedule.at.Store..in.Days.","AVAILABLE.STOCK..Units.","STOCK.VALUE..INR.","Stock.in.Transit","STO.count.in.last.two.weeks","Total.STO.qty.raised.in.last.2.weeks","Fill.rate.at.Stores.for.last.2.weeks...Rolling.Average","DC.to.Store.Fill.Rate.On.Time...Rolling.Average","Last.Good.Receipt.Note..GRN..date.at.Store","Last.GRN.qty.at.Store","Days.since.last.GRN.at.Store","Daily.SALES.QTY...Rolling.Average.for.Last.Month","Daily.SALES.VALUE...Rolling.Average.for.Last.Month","Actual.Sale.in.Last.2.weeks..Total.","Retail.Price","Lead.Time..in.Days.","Diff_lead_time","daily_sales_last_month"
"1","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/1/2016","Natural Sour Apple Cocktail 3.2 litres",11,14,197,"17,730.00",51,3,114,"97%","92%","4/25/2016",97,6,108,"9,720.00","163,296.00","90",9,2,"106-135"
"2","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/2/2016","Natural Sour Apple Cocktail 3.2 litres",13,14,80,"7,200.00",51,3,114,"100%","90%","4/26/2016",100,6,106,"9,540.00","173,628.00","90",9,4,"106-135"
"3","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/3/2016","Natural Sour Apple Cocktail 3.2 litres",13,8,0,"0",51,3,114,"5%","99%","4/27/2016",107,6,107,"9,630.00","175,266.00","90",9,4,"106-135"
"4","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/4/2016","Natural Sour Apple Cocktail 3.2 litres",11,13,0,"0",51,3,114,"9%","97%","4/28/2016",100,6,125,"11,250.00","189,000.00","90",9,2,"106-135"
"5","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/5/2016","Natural Sour Apple Cocktail 3.2 litres",11,14,0,"0",51,3,114,"9%","98%","4/29/2016",100,6,108,"9,720.00","163,296.00","90",9,2,"106-135"
"6","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/6/2016","Natural Sour Apple Cocktail 3.2 litres",11,5,133,"11,970.00",51,3,114,"98%","96%","4/30/2016",99,6,116,"10,440.00","146,160.00","90",9,2,"106-135"
"7","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/7/2016","Natural Sour Apple Cocktail 3.2 litres",13,10,73,"6,570.00",51,3,114,"100%","98%","5/1/2016",91,6,108,"9,720.00","149,688.00","90",9,4,"106-135"
"8","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/8/2016","Natural Sour Apple Cocktail 3.2 litres",15,8,166,"14,940.00",51,3,114,"97%","90%","5/2/2016",100,6,105,"9,450.00","132,300.00","90",9,6,"75-105"
"9","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/9/2016","Natural Sour Apple Cocktail 3.2 litres",11,8,134,"12,060.00",51,3,114,"98%","96%","5/3/2016",111,6,122,"10,980.00","184,464.00","90",9,2,"106-135"
"10","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/10/2016","Natural Sour Apple Cocktail 3.2 litres",12,13,163,"14,670.00",51,3,114,"98%","97%","5/4/2016",108,6,108,"9,720.00","136,080.00","90",9,3,"106-135"
"11","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/11/2016","Natural Sour Apple Cocktail 3.2 litres",10,10,0,"0",51,3,114,"9%","97%","5/5/2016",92,6,114,"10,260.00","143,640.00","90",9,1,"106-135"
"12","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/12/2016","Natural Sour Apple Cocktail 3.2 litres",14,6,0,"0",51,3,114,"7%","91%","5/6/2016",106,6,101,"9,090.00","101,808.00","90",9,5,"75-105"
"13","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/13/2016","Natural Sour Apple Cocktail 3.2 litres",13,5,0,"0",51,3,114,"8%","95%","5/7/2016",106,6,108,"9,720.00","176,904.00","90",9,4,"106-135"
"14","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/14/2016","Natural Sour Apple Cocktail 3.2 litres",15,6,0,"0",51,3,114,"5%","99%","5/8/2016",97,6,107,"9,630.00","107,856.00","90",9,6,"106-135"
"15","DC - Kolkata Metropolitan Area","Chandannagore Depot","5/15/2016","Natural Sour Apple Cocktail 3.2 litres",15,7,0,"0",51,3,114,"13%","94%","5/9/2016",92,6,104,"9,360.00","157,248.00","90",9,6,"75-105"
